,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Brodin, Terry  (310776) D",OFF,,OFF,,05,15,05,15,05,15,05,15,05,02,05,02,05,02,05,02,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,43,05,15,05,15,05,15,05,15,05,02,05,02,05,02,05,02,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Brooks, Rick  (302094) D, L",OFF,,05,79,05,79,05,79,05,79,OFF,,OFF,,OFF,,OFF,,05,60,05,60,05,60,05,60,OFF,,OFF,,OFF,,05,79,05,79,05,79,05,79,OFF,,OFF,,OFF,,OFF,,05,60,05,RCL,05,60,05,60,OFF,,OFF,,OFF,
,"Buchanan, Heather  (698167) D, E",05,50,05,13,05,,OFF,,OFF,,OFF,,OFF,,OFF,,05,38,05,,05,,05,33,05,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,31,05,,05,,05,,OFF,,OFF,,05,52
,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name (ID) Qualification,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Oct,,Oct,,Oct,
,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,,02,,03,
,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,
,"Buchanan, Heather  (698167) D, E",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Burrows, Jeff  (493694) D, L, MAXPAY, S",07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,w,L,w,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Burton, Greg  (233064) D, L, P",13,21,13,,13,40,OFF,,13,44,13,29,13,15,13,13,13,25,OFF,,13,,OFF,,13,21,13,21,13,21,13,21,13,78,OFF,,OFF,,13,,13,RC3,13,,13,42,13,08,13,66,OFF,,OFF,,13,RCL,13,21,13,21,13,21
,"Bushey, Craig  (310752) D",OFF,,OFF,,05,28,05,29,OFF,,OFF,,OFF,,05,28,05,28,05,28,05,28,05,,OFF,,OFF,,OFF,,05,28,05,28,OFF,,05,RC3,OFF,,OFF,,OFF,,05,28,05,28,05,28,05,28,OFF,,OFF,,OFF,,05,45,OFF,
,,,,,,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Camp, Kyle  (589417) A, D, I, MAXPAY, Ops",OFF,,OFF,,OFF,,OFF,,OFF,,05,C9,05,C9,05,RC3,OFF,,OFF,,OFF,,OFF,,05,C9,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,C9,05,C9,05,C9,05,C9,05,A2,05,C9,05,C9,05,IL ,05,17,OFF,,OFF,
,"Campbell, Donald  (424879) D",13,08,13,08,13,08,13,08,OFF,,OFF,,OFF,,OFF,,13,08,13,08,13,08,13,09,OFF,,OFF,,OFF,,13,08,13,08,13,08,13,08,OFF,,OFF,,OFF,,OFF,,13,08,13,08,13,08,13,09,OFF,,OFF,,OFF,,13,08
,,L,V,L,V,L,V,L,V,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,L,x,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,
,"Canatella, Michael  (260326) D, L",13,36,13,36,13,36,13,36,OFF,,OFF,,OFF,,OFF,,13,RC3,13,36,13,21,13,37,OFF,,OFF,,13,30,13,36,13,36,13,36,13,36,OFF,,OFF,,13,43,OFF,,13,36,13,36,13,36,13,RCL,OFF,,OFF,,OFF,,13,36
,"Cannon, Stephen  (538601) A, D, MAXPAY, Ops, S",21,C10,21,C10,21,C10,21,C10,21,C10,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,C10,OFF,,21,C10,21,C10,21,C10,21,C10,21,C10,21,RC3,21,C10,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,C10,21,C10,21,C10
,"Cantrell, Josh  (293012) D, J, L",OFF,,OFF,,21,19,21,19,21,27,21,29,21,29,21,29,OFF,,OFF,,OFF,,21,27,21,27,21,29,21,29,OFF,,OFF,,OFF,,21,19,21,RC3,21,29,21,29,21,29,21,27,OFF,,OFF,,21,,21,27,21,RCL,21,29,OFF,
,"Cardin, Tim  (677000) NO QUALIFICATIONS",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Carlson, Mike  (291408) D, E",OFF,,OFF,,OFF,,13,40,OFF,,OFF,,OFF,,13,39,13,39,13,40,13,40,OFF,,13,39,OFF,,OFF,,13,40,OFF,,OFF,,13,40,OFF,,OFF,,13,19,13,39,13,39,13,10,13,40,13,40,OFF,,OFF,,13,25,13,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Carreiro, Mitchell  (719587) D, P",21,09,21,11,21,11,OFF,,OFF,,OFF,,OFF,,21,RC3,21,09,21,11,21,11,OFF,,OFF,,OFF,,21,09,21,09,21,11,21,11,21,15,21,11,21,11,21,11,21,09,OFF,,21,11,OFF,,OFF,,OFF,,OFF,,21,09,21,09
,"Carreno Bermudez, Thalia  (225873) D, L",OFF,,OFF,,OFF,,05,40,05,40,05,40,05,40,OFF,,OFF,,OFF,,05,39,05,39,05,39,05,39,OFF,,OFF,,05,,05,,05,40,05,40,05,40,05,40,OFF,,OFF,,OFF,,05,39,05,39,05,39,05,39,OFF,,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
Name (ID) Qualification,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Oct,,Oct,,Oct,
,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,,02,,03,
,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,
,"Carter, Sandy  (440787) D, L, MAXPAY, Ops, S",13,45,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,C2,13,C2,13,C3,13,C3,OFF,,13,45,13,45,13,45,13,RC3,OFF,,OFF,,OFF,,OFF,,OFF,,13,C1,13,C2,13,C2,13,C3,13,C3,13,81,13,45,13,45,13,RCC,13,45
,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Casanova, Juan   (773580) D, E, L, P",OFF,,OFF,,OFF,,13,56,13,56,13,56,13,56,OFF,,OFF,,OFF,,05,56,05,56,05,56,05,56,OFF,,OFF,,OFF,,OFF,,13,56,13,56,13,56,13,56,OFF,,OFF,,OFF,,05,56,05,56,05,56,05,56,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,
,"Case, Jack  (211006) NO QUALIFICATIONS",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Case, Mike  (493693) D",13,02,13,02,13,02,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,15,13,15,13,15,13,15,13,RC3,13,02,13,02,13,02,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,15,13,15,13,15,13,15,13,02,13,02
,"Chassagne, Lady Lajeune (20897) D",05,40,OFF,,OFF,,OFF,,13,36,13,36,13,36,13,36,OFF,,OFF,,OFF,,05,36,05,36,05,36,05,36,OFF,,OFF,,OFF,,OFF,,13,36,13,RC3,13,36,13,36,OFF,,OFF,,OFF,,05,36,05,36,05,36,05,36,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cho, Hanna  (758557) D",21,,21,,21,,21,,OFF,,OFF,,OFF,,OFF,,21,,21,,21,,21,,OFF,,OFF,,OFF,,21,,21,,21,,21,,OFF,,OFF,,OFF,,OFF,,21,,21,,21,,21,,OFF,,OFF,,OFF,,21,43
,"Christian, Alex  (866300) D, E, L, P",OFF,,05,60,05,60,05,60,05,60,OFF,,OFF,,OFF,,OFF,,13,60,13,60,13,60,13,RC3,OFF,,OFF,,OFF,,05,60,05,60,05,60,05,60,OFF,,OFF,,OFF,,OFF,,13,60,13,60,13,60,13,RCL,OFF,,OFF,,OFF,
,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Christiana III, Jeff  (169710) A, D, MAXPAY",07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Cisneros, Rico  (794897) D, J, MAXPAY, Ops, R",05,R2,05,,05,C11,OFF,,OFF,,OFF,,OFF,,05,R2,05,R2,05,C9,05,C9,OFF,,OFF,,OFF,,05,R2,05,R2,OFF,,OFF,,OFF,,OFF,,OFF,,05,R2,05,R2,05,R2,05,R2,OFF,,OFF,,OFF,,OFF,,05,R2,05,R2
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Cline, Valerie  (677502) D, L",05,,05,26,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,RC3,05,25,05,25,05,25,05,36,05,35,05,,05,45,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,25,05,,05,,05,,05,
,"Cluff, Dustin  (758669) D, E",05,51,OFF,,OFF,,OFF,,05,,05,,05,24,05,RC3,OFF,,OFF,,OFF,,05,08,05,08,05,08,05,08,OFF,,OFF,,OFF,,OFF,,05,,05,27,05,,05,,OFF,,OFF,,OFF,,05,08,05,08,05,48,05,08,OFF,
,"Cluff, Emil  (741547) D, E, MAXX, Ops",OFF,,OFF,,OFF,,21,C4,21,C4,21,C4,21,RC3,OFF,,OFF,,OFF,,21,C4,21,C2,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,C4,21,C4,21,C4,21,C4,21,C4,21,C4,21,C4,21,,OFF,,OFF,,OFF,,OFF,
,"Coates, Mark  (480231) D, L, P",13,60,13,RC3,OFF,,OFF,,OFF,,OFF,,13,,13,,13,,13,,OFF,,OFF,,OFF,,13,60,13,60,13,60,13,60,13,67,OFF,,OFF,,OFF,,13,,13,,13,,13,,OFF,,OFF,,13,RCL,13,60,13,60,13,60
,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,
,"Coats, Alex  (619476) A, D, L, MAXPAY, Ops, S",13,C4,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,C4,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,C4,OFF,,OFF,,OFF,,13,,13,C7
,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,
Name (ID) Qualification,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Oct,,Oct,,Oct,
,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,,02,,03,
,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,
,"Coats, Alex  (619476) A, D, L, MAXPAY, Ops, S",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Coats, Erica  (928384) D",OFF,,OFF,,13,,13,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,
,"Collier, Michael  (570678) D, E, P",07,,OFF,,OFF,,OFF,,OFF,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,
,"Collins, Michael  (793854) D",OFF,,13,41,13,41,13,41,13,41,OFF,,OFF,,OFF,,OFF,,13,01,13,01,13,01,13,01,OFF,,OFF,,OFF,,13,41,13,41,13,41,13,41,OFF,,OFF,,OFF,,OFF,,13,01,13,01,13,01,13,01,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,
,"Collins, Terry  (363413) A, D, L, MAXPAY, S",OFF,,05,A4,05,A4,05,A4,05,A6,OFF,,OFF,,OFF,,13,A3,13,A4,13,A4,13,A4,13,A6,OFF,,OFF,,OFF,,05,A4,05,A4,05,A4,05,A6,OFF,,OFF,,OFF,,OFF,,13,A4,13,A4,13,A4,13,A6,OFF,,OFF,,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Condon, Michael  (258103) D, L",21,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,,21,,21,,21,,21,,OFF,,21,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,,21,,21,,21,,21,,21,,21,,21,,21,
,,L,x,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,L,V,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cook, Natasha  (674350) D",OFF,,OFF,,OFF,,OFF,,13,24,13,24,13,24,13,24,OFF,,OFF,,OFF,,13,20,13,20,13,20,13,20,OFF,,OFF,,OFF,,OFF,,13,24,13,24,13,24,13,24,OFF,,OFF,,OFF,,13,20,13,20,13,20,13,20,OFF,
,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Cooper, Susan  (597172) A, D, MAXPAY, Ops",05,A5,05,A5,OFF,,13,A2,13,A2,OFF,,OFF,,13,A5,13,A5,13,A5,OFF,,OFF,,OFF,,05,A5,05,A5,05,A5,13,12,13,A4,OFF,,OFF,,OFF,,13,A5,13,A5,13,A5,13,A5,OFF,,OFF,,OFF,,05,A5,05,A5,05,A5
,,,,,,,,,,,,,,,,,,L,w,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,A5,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Copeland, Brennan  (597584) D, L, P",OFF,,OFF,,21,21,21,11,21,,21,,21,04,OFF,,OFF,,OFF,,21,64,21,64,21,19,21,64,21,11,OFF,,OFF,,21,,21,64,21,,21,,21,35,21,27,21,,OFF,,21,,21,,21,,21,78,OFF,,OFF,
,"Copeland, Mike  (624230) D, L, P",OFF,,OFF,,05,76,05,76,05,76,05,76,OFF,,OFF,,OFF,,OFF,,05,77,05,77,05,77,05,RC3,OFF,,OFF,,OFF,,05,76,05,76,05,76,05,76,OFF,,OFF,,OFF,,OFF,,05,77,05,77,05,77,05,77,OFF,,OFF,
,"Correa, Manuel A.  (659839) D, L, P",21,64,21,,21,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,,21,,21,,21,,21,,21,,21,,21,,OFF,,OFF,,OFF,,OFF,,21,,21,,OFF,,21,,21,,21,33,21,62,21,15,OFF,
,,,,L,R,L,R,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Countryman, Cary  (377981) D, J, P",05,42,05,43,OFF,,OFF,,OFF,,05,,05,,05,,05,RC3,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,,05,,05,,05,,OFF,,OFF,,OFF,,OFF,,05,42,OFF,,05,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,L,x,,,,
,"Cozzens, Brenda  (543398) A, D, MAXPAY, S",OFF,,OFF,,OFF,,OFF,,OFF,,13,A3,13,A3,13,A3,13,A4,OFF,,OFF,,13,A3,13,RC3,13,A3,13,A3,OFF,,OFF,,OFF,,OFF,,13,A3,13,A3,13,A3,13,A3,OFF,,OFF,,OFF,,13,A3,13,A3,13,A3,13,A3,OFF,
,,,,,,,,,,,,L,w,,,,,,,,,,,,,,,,,L,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,w,,
Name (ID) Qualification,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Oct,,Oct,,Oct,
,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,,02,,03,
,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,
,"Creager, Eric  (782677) D, E, J, P",OFF,,OFF,,OFF,,OFF,,13,,13,,13,,13,,OFF,,OFF,,OFF,,05,,05,,05,,05,,13,30,OFF,,OFF,,13,,13,,13,,13,,13,,OFF,,OFF,,OFF,,05,,05,,05,,05,,OFF,
,"Crespin, Kyle  (397548) D, I, L, Ops",05,C11,05,C11,OFF,,13,C2,13,C2,13,C2,13,C2,OFF,,OFF,,13,12,13,C9,13,C9,13,C10,13,RC3,OFF,,OFF,,OFF,,OFF,,13,IL ,13,C2,13,C2,13,C2,OFF,,13,C10,13,40,13,C9,13,C9,13,C10,13,C10,OFF,,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Crook, Josh  (439454) A, D, I, MAXPAY, Ops, R",OFF,,OFF,,21,C2,21,C2,21,C2,21,C2,21,C2,21,RC3,21,C2,OFF,,OFF,,OFF,,OFF,,OFF,,21,C1,21,C1,21,C1,21,C2,21,C2,21,C2,21,IL ,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Crook, Timothy  (356306) A, D, MAXPAY, Ops, R",OFF,,OFF,,05,C2,05,C2,05,C2,05,C2,05,C10,05,C3,05,C10,05,C10,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,C2,05,C2,05,C2,05,C2,05,C10,05,C10,05,C10,05,C10,05,C3,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,
,"Crosby, Sean  (567845) D, E",13,53,13,53,13,53,13,53,OFF,,OFF,,OFF,,05,53,05,53,05,53,05,53,OFF,,OFF,,OFF,,13,48,13,RC3,13,53,13,53,13,53,OFF,,OFF,,OFF,,05,53,05,53,05,53,05,53,OFF,,OFF,,OFF,,OFF,,13,53
,"Crossman, Stephen   (773855) D, J, L",05,10,05,RC3,05,06,05,06,05,06,OFF,,OFF,,OFF,,05,09,05,09,05,09,05,09,OFF,,OFF,,OFF,,OFF,,05,06,05,06,05,06,05,06,OFF,,OFF,,OFF,,05,09,05,09,05,09,05,09,05,33,OFF,,OFF,,OFF,
,"Crump, Mike  (460490) A, D, I, L, MAXPAY, Ops",21,C1,21,C1,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,C1,21,C1,21,C1,21,C1,21,C1,OFF,,OFF,,OFF,,OFF,,13,,OFF,,21,,OFF,,05,,21,C2,21,C1,21,C1,OFF,,13,,OFF,,OFF,,21,C1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,A,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Cumberbatch, Nigel  (399233) D, E, J, L, MAXPAY, Ops, P, R, S",07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,,OFF,,07,,07,,07,,07,,OFF,,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Cump, David  (802654) D",13,06,13,06,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,RC3,13,09,13,36,OFF,,OFF,,OFF,,13,06,13,06,13,06,OFF,,OFF,,OFF,,OFF,,13,06,13,06,13,06,13,09,OFF,,OFF,,OFF,,13,06,13,06,13,06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,
